Institution_ID,Undergraduate_Enrollment_FTE,Graduate_Enrollment_FTE,Reported_Undergraduate_Enrollment_FTE,Reported_Graduate_Enrollment_FTE,Doctors_Professional_Practice_FTE,Activity_Type,Year
109208,19477.0,,19477.0,,,2,2016
109350,9150.0,,9150.0,,,2,2016
109651,2204.0,259.0,2204.0,259.0,,2,2016
109721,281.0,,281.0,,,1,2016
109730,165.0,,165.0,,,2,2016
109785,5925.0,3900.0,5925.0,3900.0,281.0,2,2016
109819,12338.0,,12338.0,,,2,2016
109907,2111.0,,2111.0,,,2,2016
109934,222.0,,222.0,,,1,2016
110060,208.0,56.0,208.0,56.0,3.0,2,2016
110097,4273.0,1105.0,4273.0,1105.0,,2,2016
110194,194.0,,194.0,,,1,2016
110219,2223.0,0.0,2223.0,0.0,,2,2016
110246,8234.0,,8234.0,,,2,2016
110307,,295.0,,295.0,,-2,2016
110316,125.0,1193.0,125.0,1193.0,108.0,2,2016
110334,7564.0,,7564.0,,,2,2016
110361,6393.0,2125.0,6393.0,2125.0,,2,2016
110370,1369.0,469.0,1589.0,455.0,,2,2016
110398,,38.0,,38.0,898.0,-2,2016
110404,982.0,1274.0,982.0,1274.0,,2,2016
110413,2844.0,1202.0,2844.0,1202.0,88.0,2,2016
110422,18867.0,599.0,18867.0,599.0,,2,2016
110468,472.0,2515.0,472.0,2515.0,53.0,2,2016
110486,8031.0,711.0,8031.0,711.0,,2,2016
110495,6817.0,830.0,6817.0,830.0,,2,2016
110510,15198.0,1252.0,15198.0,1252.0,,2,2016
110529,19021.0,717.0,19021.0,717.0,,2,2016
110538,15250.0,529.0,15250.0,529.0,,2,2016
110547,9832.0,1168.0,9832.0,1168.0,,2,2016
110556,18737.0,1674.0,18737.0,1674.0,0.0,2,2016
110565,28408.0,2565.0,28408.0,2565.0,0.0,2,2016
110574,11122.0,2003.0,11122.0,2003.0,,2,2016
110583,27490.0,2822.0,27490.0,2822.0,0.0,2,2016
110592,20253.0,2081.0,20253.0,2081.0,,2,2016
110608,29411.0,2888.0,29411.0,2888.0,0.0,2,2016
110617,22673.0,1608.0,22673.0,1608.0,0.0,2,2016
110635,28745.0,10133.0,28745.0,10133.0,1181.0,2,2016
110644,27706.0,5326.0,27706.0,5326.0,1252.0,2,2016
110653,26276.0,5370.0,26276.0,5370.0,660.0,2,2016
